comment
Индилайт — для лучшего старта сезона шашлыков! Заказывай по ссылке: https://vk.cc/cnLlMu
2:05:41
Новинка
Новинка
Новинка
"Ильдар Автоподбор — как живет самый народный автоблогер ютуба. О переезде, Давидыче и жене"
Новинка
"Баста — побег из дома в 15, ссоры с Гуфом, семья. Как живет отец русского рэпа / Вписка"
"Стас Асафьев — цены на авто, отказ Давидычу, конфликты в школе / Вписка"
"Расул Чабдаров — уход комиков в ВК, конфликт Чебаткова с Идраком, Истории на ночь / Вписка"
Вопрос Ребром - Александр Зубарев
"Артемий Лебедев — о конфликте с Навальным и Зеленским, эмигрантах и отмене России / Вписка"
1:03:32
1:50:33
31:04
1:11:54
21:35
1:05:13
1:45:45
1:54:56
Ещё
"Ребята, лимит комментов под закреплненным комментарием! Ютуб их удаляет почему-то. Пишите свои оды пельменные не здесь, а просто в комментариях. Будем все отслеживать!"
"Единственный выпуск который я посмотрел не перемотав ни секунды. Максимально открытый, честный и искренний человек. БОЛЬШОЕ УВАЖЕНИЕ!"
"я в шоке .. человеку 36 лет , а он пережил войну , смерть самого близкого человека , наркотическую зависимость , потерял столько друзей , живет в другой стране , у него 5 млн в тиктоке , юмор неповторимый , впринципе все его мышление , огромный словарный запас.. это человечище !! посмотрела потому что люблю его шутки но даже не подозревала что он такой человек с большой буквы , сколько он выдержал и до сих пор так безаботно шутит ... уважение"
"Это мое первое интервью , которое я вообще посмотрела дольше 15 минут, обычно ни один артист, актер, режиссер не вызывали столько теплых эмоций, как будто родной человек тебе рассказывает про свою жизнь и будто ты знаешь его уже 1000 лет"
"Сильное интервью, сколько боли в этих глазах, тяжелое детство"
"Сильнейший человек!!! Никогда бы не подумала, что Зубарев такое пережил...Крепкого здоровья и долгих лет жизни"
"За его весёлой улыбкой, оказывается, скрывается огромная боль. Зубарев - любовь"
"Как жаль, что нет возможности отметить свою реакцию в процессе интервью на отдельные темы, пока слушала Александра и аплодировала, и плакала, и грустила, и радовалась... Замечательный человек, настоящий, такой какой есть. Была бы очень рада дружить с таким человеком! "
Господи! Просто до глубины души!
"Очередное подтверждение того, что чем смешнее и дурачливее человек на публике, тем он душевнее и добрее наедине с собой и любимыми людьми. Я не ошиблась, когда подписалась на Зубарева. Респект и творческих успехов!"
"Да уж, как и многие, сел смотреть смешного мемного парня, а получил 2,5 часа вдумчивого, простого, открытого человека, с не самой простой судьбой, которого можно слушать бесконечно, как хорошего доброго друга! Спасибо ребят"
"До этого про Зубарева только слышал, но 55х55 со своими туями заставили посмотреть это интервью, и, блин, Сашка просто как брат мне показался, настолько близких взглядов и по чувству юмора пацан :) Максимальное уважение за искренность, а также любви, здоровья и всех благ тебе и твоей маме!!"
"Как пацан со двора ,Санек залетит в любую компанию и через пять минут будет как братишка,огромное уважение Саньку"
Самый легендарный выпуск за всю историю канала
"«Если родиться мальчик, я разыграю его у Вас на шоу» "
"Сань! Я кстати подзабыл что я трезвый 8 год. Когда-то я мечтал один день трезвым прожить. И сейчас подзабыл ценность того что я трезвый и не на тяге.   Ты так сказал про то что счастлив от того что трезвый и я прям воспрял!  Парюсь что к 38 нет дома, нет машины и т.п а могло и не быть меня))).  Брат благодарность тебе!!!!!"
"Если человек любит животных то это человек с большой буквы. Саша это действительно так, ты верно сказал."
"Зубарев один из самых человечных, понимающих, честных, юморных людей. Выпуск смотрела на одном дыхании, со слезами и со смехом. Здоровья и мира Сашиной маме, мира всем нам!"
"Вот казалось бы мужик ходит по китаю угарает, а на самом деле прожил столько всего... Дай бог здоровья тебе и твоей семье отец!"
Александру огромное спасибо за такую открытость на данном интервью 
Ахахаха. Танец в парике с пылесосом Дайсон - это ж Queen - I Want To Break Free!!!
"Про наркотики рассказать , и про брата ! Эта сильный поступок . "
"Емоции...Он мне подарил все емоции ,от позитива к печали ,пониманию.Большое спасибо Саша 🥹"
"Саня просто охеренный человек. За один видос у меня прямо все те же переживания поднялись опять, все эти состояния: чувства потери, состояние тревожности и тд. Не дай вам бог ребята это пережить. Хотя из некоторых это еще может сделать человека."
"Дождались! Спасибо огромное вписке что приехали к Отцу в Китай , всем приятного просмотра!"
"Блять, это ахуенно. Наблюдать то как человек рассказывает про своё прошлое, сдерживает слезы всю боль в себе, и потом проводит нормальную прекрасную жизнь. Зубарев - легенда"
"1:19:05 -это конец, я разревелась просто в сопли. Это просто невероятно какое у меня уважение к самому Зубареву,какое уважение к его старшему брату. Просто каждая история-я в слезы. Зубарев просто невероятно душевный и прекрасный человек"
"Я даже не мог предположить что за ЕГО улыбкой скрывается столько боли, я рад тому что ОН всё вывез, я рад что ОН слез со всей хуйни которая у него была в жизни, рад что ОН нашёл себя, дай бог ему сил."
"Капец, на моменте с братом видно как Саша слезы сдерживает.."
"Земляк, ты очень крутой! Я как будто побывал дома, спасибо тебе большое! "
"Какой Саша искренний и хороший человек,посмотрела от и до!и да,Саш ты симпатичный а не страшный."
"Отец, сидел и плакал когда ты говорил о брате.  Столько в душе эмоций подарил твое интервью. Здоровье тебе и твоей семье. Брат радуется глядя на тебя сверху. Ты Молодец, ты столько людей вдохновил. Спасибо за интервью."
"Какой же кайф, когда человек может быть абсолютно веселым и смешным, а через мгновение-искренне о чем-то рассказать"
"Никогда не смотрела интервью каких либо людей, увидела шортс, решила посмотреть. Без перемотки на одном дыхании. Очень душевный выпуск "
"Восхищаюсь этим человеком,безумно "
"Я скептически относилась к Зубареву, пока не увидела его работу с детьми. Это педагог от бога. Столько любви и внимания я не видела, тем более в танцевальной/актёрской среде. Просто моё уважение! А теперь, узнав человека с других сторон... Могу только молча поклониться. Он действительно достоин уважения."
"Скажу честно, это лучший гость из всех."
"Очень сильный и глубокий выпуск, огромное спасибо команде и гостю. Столько личного и столько больного многим, и даны объяснения и советы как можно со многим справиться! Очень ценен опыт и мнение!"
"Мне кажется Зубарев интересен во многом благодаря тому, что он был танцором. Манера общения, грамотная и поставленная речь, вежливость и при этом чувство юмора и открытость. Очень интересный взгляд на мир - актёрский, у меня отец был актёром, напоминает мне Зубарев чем-то моего батю."
"Наверно это первый гость, который так зацепил собой, очень искренний. Кто бы не сказал, но очень добрый человек. Спасибо за выпуск"
За котиков большое уважение отцу всея пельменей. Человечище.
Самые ах.... слова и понимание того что было с тобой брат( именно то детство которое было ... и сделало нас такими какими мы есть сейчас) .  Здравия тебе и всей твоей семье от чистого сердца
"вы прекрасный ,душевный ,искрений человек "
"Не удивлена, что это самый популярный выпуск вписки. Отец просто лучший! Максимально душевный человек, любовь к нему нарастала с каждой минутой "
"Отец собрал на ролик со своим участием 12млн просмотров, тогда как все ""богатые"" и ""именитые"" личности всего по паре миллионов."
"Офигенный разговор, беседа, я вообще про него не знала, но теперь когда в ютубе натыкаюсь на интервью, подкасты с Зубаревым смотрю с огромным удовольствием, классный "
"Посмотрел на одном дыхании, очень надеюсь на то, что Зубарев во всем рассказал правду, но это никак не проверить конечно, но все равно охотно верю, что все реально так, как он рассказал. Очень открытый, искренний чел, огромный респект за выпуск"
"""Я буду самым лучшим лучшим отцом. Если родится сын, я разыграю его у вас на шоу"". Убило "
Поздравляю всех с выходом этой легендарной ВПИСКИ !!! Всем приятного просмотра !
Александр просто великий ЧЕЛОВЕК! Всего наилучшего Вам и семье!
Спасибо Александру за искренность.
"Вот вам пример, как человек сделал сам себя. Просто , честно и открыто рассказал. И не нойте, как вам тяжело. Я хоть и старше своего тёзки,  но очень его уважаю."
Я не знаю человека который так искренне и интересно может рассказывать истории. Просто фантастика. Завараживающе
"У меня тоже есть брат, тоже  старший, Игорь. "
"Интервью аж до мурашек , как будто посмотрел офигенный фильм ."
"Максимально откровенное,чистое,без подлиз без вы.бонов  интервью, хорошего и достойного человека."
ТОТ СЛУЧАЙ КОГДА ДВА С ЛИШНиМ ЧАСА ВИДеО НЕ ДОСТАТОЧНО. Зубарев мужик!!  Респект!!
"Никогда бы не подумал, что настолько позитивный мужик  и с таким крайне тяжелым прошлым, остается всегда на позитиве, самый жизнерадостный чел, которых только видел. Долгих лет жизни тебе, Санёчек и маме. Ох**тельный ты мужик"
Как здорово 
"Саша, спасибо за искренность. Вы сильный человек! Желаю всех благ, пусть все получится как Вам надо. Привет из Алматы! "
"Блять, мечта:купить билеты в Ухань, чтобы сфоткаться с Зубаревым и он сказал, ""блять, да с удовольствием "", повезло же тем ребятам"
"а Зубареву - наиогромнейший респект! чувак реально сделал себя сам, не смотря на нелёгкую судьбу!"
"Чёткий пацан, очень тяжелое прошлое но максимально искренни рассказать об этом сможет не каждый, пройдя все это оставаться с хорошим чувством юмора и жизнерадостным, внутри крепче гранита это дорого стоит !!!"
Это САМЫЙ ИНТЕРЕСНЫЙ ВЫПУСК!
"Очень удивила жизненная история Зубарева, восхитил сильный человек. Именно тот кто реально это все прожил, а не выдумал для большей иронии"
"Человек, у которого не было нормального отца , САМ стал для многих ОТЦОМ "
"через 28 дней лето 2024 года, прошел уже целый год с момента выхода этого выпуска, а такое чувство как будто я это смотрел вот вот вчера, через месяц большинство людей сдают экзамены в том числе и я, хочу пожелать всем удачи и как говорили великие, делайте то что любите любите то что делаете всем удачи!!!))"
Александр спасибо за то что ты есть!
"видно как отцу тяжело рассказывать все эти истории, слишком сильный духом человек, прошел сильнейшие испытания в жизни и не сломался"
"Александр пронес такую боль через года, но при этом не сломался. Человек заслуживает уважение, ибо на такое способны немногие.."
Зубарев я смотрю на твои творчество уже  1 года ты яркий пример моей жизни и я уважаю тебя  счастливой жизни тебя и по больше плмен ....!
Офигенный Саша! Классный очень приятный парень ведущий. С таким удовольствием посмотрела. Первый раз на этом канале. 
Такого человека хочется слушать и слушать. Вообще интересный порядочный. Про брата вообще можно слушать часами. Дай бог всем здоровья.
"Какое уважение его маме! Трое детей без мужа в 90 ые! У меня двое родителей было, и то анемия была ( ни мяса ни фруктов). И какого сына воспитала. Тяжелая жизнь была у Зубарева, понятно почему он так сейчас наслаждается материальными благами"
"Я на одном дыхании посмотрела весь выпуск. Настолько искренний, честный, добрый, сильный человек. Я желаю ему только лучшей жизни"
"Сань!! Благодарю за то, что рассказал так открыто про все темы. И брат старший, и зависимость, и ПА (я год "
4
"«Если родиться мальчик, я разыграю его, у вас на шоу»"
"Спасибо,класс!:-) Очень приятный парень. Слава Богу,что уберёг такого парня!"
Раньше у меня было неоднозначное к нему отношение.
